Provider_id,County,State,Lower_Payment_Est,Ave_Payment,Higher_Payment_Est,Start_Date,End_Date
420023,greenville,sc,21314,21709,22111,2013-04-01,2016-03-31
420104,charleston,sc,14265,16026,18147,2013-07-01,2016-06-30
100266,santa rosa,fl,13644,14757,15825,2013-07-01,2016-06-30
110035,cobb,ga,18893,19313,19716,2013-04-01,2016-03-31
370114,tulsa,ok,13899,14619,15365,2013-07-01,2016-06-30
180080,knox,ky,18420,19430,20465,2013-07-01,2016-06-30
240004,hennepin,mn,21946,24282,26951,2013-04-01,2016-03-31
390133,lehigh,pa,15119,15691,16247,2013-07-01,2016-06-30
150011,grant,in,14706,15701,16752,2013-07-01,2016-06-30
360071,van wert,oh,16231,17724,19279,2013-07-01,2016-06-30
230054,marquette,mi,14413,15675,16941,2013-07-01,2016-06-30
140119,cook,il,19029,21097,23409,2013-07-01,2016-06-30
110001,whitfield,ga,18884,20489,22234,2013-07-01,2016-06-30
240100,beltrami,mn,18755,19706,20679,2013-04-01,2016-03-31
010090,mobile,al,15525,16318,17132,2013-07-01,2016-06-30
241335,wabasha,mn,12186,15078,17806,2013-07-01,2016-06-30
390163,armstrong,pa,21442,24557,28156,2013-07-01,2016-06-30
110165,clayton,ga,19134,21348,23641,2013-07-01,2016-06-30
261312,harrison,mo,20334,22699,25101,2013-07-01,2016-06-30
100073,broward,fl,17506,18481,19468,2013-07-01,2016-06-30
210003,prince georges,md,15646,16906,18281,2013-07-01,2016-06-30
161376,cass,ia,18208,20326,22476,2013-07-01,2016-06-30
250094,forrest,ms,15310,16684,18053,2013-07-01,2016-06-30
010021,dale,al,14550,16503,18755,2013-07-01,2016-06-30
141316,vermilion,il,13921,16218,18556,2013-07-01,2016-06-30
340145,lincoln,nc,14303,15565,16923,2013-07-01,2016-06-30
390042,washington,pa,22463,24835,27257,2013-07-01,2016-06-30
141348,randolph,il,16041,18166,20749,2013-07-01,2016-06-30
010120,monroe,al,12695,14264,16129,2013-07-01,2016-06-30
181319,breckinridge,ky,14256,15971,17693,2013-07-01,2016-06-30
180067,fayette,ky,21019,22911,24861,2013-07-01,2016-06-30
330279,erie,ny,15073,16124,17254,2013-07-01,2016-06-30
500051,king,wa,13798,14601,15515,2013-07-01,2016-06-30
050254,el dorado,ca,18909,19725,20620,2013-04-01,2016-03-31
170020,reno,ks,15814,16616,17422,2013-07-01,2016-06-30
670023,tarrant,tx,18393,19699,21046,2013-07-01,2016-06-30
230041,bay,mi,16895,17900,18913,2013-07-01,2016-06-30
310051,union,nj,24205,25046,25928,2013-04-01,2016-03-31
150022,montgomery,in,15160,16581,18060,2013-07-01,2016-06-30
